,Unnamed: 0,Gene,variance,SD
0,0,A1BG,0.035145929,0.187472475
1,1,A1BG-AS1,0.029408576,0.171489288
2,2,A1CF,0.025864859,0.160825553
3,3,A2M,0.049549445,0.222597046
4,4,A2M-AS1,0.038260729,0.195603501
6,6,A2MP1,0.047721319,0.218452097
8,8,A4GALT,0.06204339,0.249085107
10,10,AA06,0.050321628,0.224324827
11,11,AAAS,0.053089956,0.230412578
12,12,AACS,0.061890075,0.248777159
13,13,AACSP1,0.033943244,0.184236924
15,15,AADACL2,0.040434047,0.20108219
16,16,AADACL2-AS1,0.030369138,0.174267432
17,17,AADACL3,0.052515339,0.229162255
18,18,AADACL4,0.026678396,0.163335225
20,20,AADAT,0.05352029,0.231344527
21,21,AAGAB,0.05196857,0.22796616
22,22,AAK1,0.027632866,0.166231363
23,23,AAMDC,0.038358581,0.195853469
25,25,AANAT,0.071666886,0.267706716
27,27,AARD,0.031504879,0.177496138
28,28,AARS2,0.051893931,0.227802396
29,29,AARSD1,0.038775334,0.196914535
30,30,AASDH,0.051351831,0.226609425
31,31,AASDHPPT,0.036727414,0.191643976
32,32,AASS,0.029799848,0.172626324
35,35,ABAT,0.033363674,0.182657259
36,36,ABCA1,0.046005329,0.214488528
37,37,ABCA10,0.027789676,0.166702358
39,39,ABCA12,0.054433446,0.233309765
40,40,ABCA13,0.026984445,0.164269427
41,41,ABCA17P,0.014927282,0.122177255
42,42,ABCA2,0.071846866,0.268042656
43,43,ABCA3,0.020966034,0.144796528
44,44,ABCA4,0.047948664,0.218971833
46,46,ABCA6,0.022929104,0.151423591
47,47,ABCA7,0.023885779,0.154550248
48,48,ABCA8,0.019711825,0.140398806
49,49,ABCA9,0.04837094,0.219933945
51,51,ABCB10,0.025829042,0.160714163
52,52,ABCB11,0.017668095,0.132921386
55,55,ABCB6,0.022927502,0.151418302
56,56,ABCB7,0.046147144,0.214818863
58,58,ABCB9,0.035728733,0.189020455
59,59,ABCC1,0.019320871,0.138999535
60,60,ABCC10,0.072659599,0.269554445
63,63,ABCC13,0.031118608,0.176404671
64,64,ABCC2,0.016345391,0.127849094
65,65,ABCC3,0.037273427,0.193063272
66,66,ABCC4,0.064059102,0.253098996
68,68,ABCC5-AS1,0.043511487,0.208594073
69,69,ABCC6,0.037978838,0.194881601
73,73,ABCC9,0.024084184,0.155190799
74,74,ABCD1,0.037143389,0.192726201
76,76,ABCD3,0.039441131,0.198597912
77,77,ABCD4,0.023705473,0.153965818
78,78,ABCE1,0.022374368,0.149580639
79,79,ABCF1,0.073906492,0.271857485
80,80,ABCF2,0.01588674,0.126042612
81,81,ABCF3,0.027172677,0.164841368
82,82,ABCG1,0.017810571,0.133456253
83,83,ABCG2,0.056320324,0.237319035
84,84,ABCG4,0.05955368,0.244036228
85,85,ABCG5,0.073636372,0.271360225
