,Unnamed: 0,Gene,variance,SD
5,5,A2ML1,0.101814673,0.319084116
7,7,A3GALT2,0.086796608,0.29461264
9,9,A4GNT,0.101246053,0.318191849
14,14,AADAC,0.157111574,0.396373024
19,19,AADACP1,0.131578622,0.362737677
26,26,AAR2,0.099851981,0.31599364
33,33,AATF,0.191431718,0.437529106
45,45,ABCA5,0.144894986,0.380650741
50,50,ABCB1,0.086142565,0.293500537
61,61,ABCC11,0.142569003,0.377583107
72,72,ABCC8,0.211131169,0.459490119
75,75,ABCD2,0.096668227,0.310915145
96,96,ABHD15,0.135081625,0.367534523
106,106,ABHD6,0.098992599,0.314630894
119,119,ABRA,0.175333317,0.418728214
126,126,ACACA,0.099740212,0.315816738
133,133,ACADM,0.124080595,0.352250756
144,144,ACBD4,0.140530087,0.374873427
146,146,ACBD6,0.148701779,0.385618696
167,167,ACOT11,0.159432828,0.399290405
173,173,ACOT7,0.1827224,0.427460408
184,184,ACR,0.167943111,0.409808627
191,191,ACSL1,0.097430735,0.312138967
195,195,ACSL6,0.133150152,0.364897454
204,204,ACSS3,0.113771322,0.337300047
208,208,ACTBL2,0.090799043,0.301328796
227,227,ACTR2,0.087179149,0.295261153
233,233,ACTR5,0.137636186,0.370993513
235,235,ACTR8,0.177697614,0.421541948
280,280,ADAMTS1,0.091221598,0.302029134
282,282,ADAMTS12,0.097204983,0.311777136
298,298,ADAMTS8,0.136313194,0.369206167
306,306,ADAMTSL5,0.227237861,0.476694726
307,307,ADAP1,0.230118386,0.479706562
315,315,ADAT3,0.190841713,0.436854338
319,319,ADCY1,0.092712562,0.304487375
328,328,ADCY8,0.103425146,0.321597802
341,341,ADH5,0.14600638,0.382107812
350,350,ADIPOR2,0.171133748,0.413683149
367,367,ADPRHL1,0.21233195,0.460794911
378,378,ADRM1,0.088990037,0.298311979
382,382,AEBP2,0.113093008,0.33629304
385,385,AFAP1-AS1,0.21999818,0.469039636
387,387,AFAP1L2,0.127039241,0.356425646
388,388,AFF1,0.112511188,0.335426874
390,390,AFF3,0.142763853,0.377841041
392,392,AFG3L1P,0.183428101,0.42828507
393,393,AFG3L2,0.132233024,0.36363859
401,401,AGAP2,0.100437459,0.316918695
404,404,AGAP4,0.141440446,0.376085689
407,407,AGAP9,0.130523794,0.361280769
419,419,AGGF1,0.141046483,0.375561557
433,433,AGPAT5,0.108994669,0.330143406
435,435,AGR2,0.091464287,0.302430631
458,458,AHSG,0.091042575,0.301732622
483,483,AK7,0.130764323,0.361613499
484,484,AK8,0.102823707,0.320661359
516,516,AKR1E2,0.147047415,0.383467619
521,521,AKT1,0.18041517,0.42475307
539,539,ALDH1L1-AS2,0.119464713,0.345636678
544,544,ALDH3B1,0.104966207,0.323984886
547,547,ALDH5A1,0.095670978,0.309307254
572,572,ALKBH1,0.172838883,0.41573896
573,573,ALKBH2,0.091448792,0.302405013
575,575,ALKBH3-AS1,0.162032502,0.402532609
592,592,ALOXE3,0.130468203,0.361203825
593,593,ALPI,0.088216921,0.297013335
596,596,ALPK3,0.140685843,0.375081115
611,611,AMDHD2,0.128510542,0.35848367
612,612,AMELX,0.092543187,0.304209117
636,636,AMY1A,0.141905307,0.376703208
639,639,AMY2A,0.125187764,0.35381883
641,641,AMZ1,0.208379576,0.456486118
644,644,ANAPC1,0.088460449,0.297423013
645,645,ANAPC10,0.106038594,0.325635677
646,646,ANAPC11,0.148918613,0.385899745
668,668,ANHX,0.233291293,0.483002374
681,681,ANKIB1,0.166370232,0.407885071
693,693,ANKRD13B,0.166630501,0.408203995
708,708,ANKRD20A8P,0.229471106,0.479031424
716,716,ANKRD27,0.172176852,0.414941987
720,720,ANKRD30B,0.095729063,0.309401135
746,746,ANKRD53,0.096657866,0.310898482
748,748,ANKRD55,0.112693485,0.335698503
755,755,ANKRD66,0.093340077,0.305516083
758,758,ANKS1A,0.14529154,0.381171274
766,766,ANO1,0.09253279,0.304192028
769,769,ANO3,0.170469771,0.412879851
789,789,ANXA10,0.098562598,0.313946807
790,790,ANXA11,0.164671403,0.405797244
805,805,AOAH,0.085917129,0.293116239
808,808,AOC2,0.182588572,0.42730384
820,820,AP1S2,0.099659484,0.315688904
822,822,AP2A1,0.171381555,0.413982554
841,841,AP5S1,0.118334589,0.343997949
871,871,APOA2,0.150293457,0.387677
878,878,APOBEC3A_B,0.114595098,0.338518978
906,906,APOO,0.086293511,0.293757572
914,914,APTR,0.225351452,0.474711967
917,917,AQP10,0.086367878,0.293884123
919,919,AQP12A,0.13172315,0.36293684
920,920,AQP12B,0.21610134,0.464867013
927,927,AQP7,0.085125037,0.291761953
952,952,ARFIP1,0.156274103,0.395315194
976,976,ARHGAP26,0.144959554,0.380735544
994,994,ARHGAP6,0.126542227,0.355727742
