,Unnamed: 0,Gene,variance,SD
16851,16851,RIMKLA,0.242903263,0.492852172
16558,16558,RBFA,0.241722538,0.491652863
3902,3902,CXorf58,0.239734451,0.489626849
12980,12980,MTHFS,0.236552082,0.486366202
8198,8198,KCNG3,0.236192665,0.485996569
16516,16516,RASGRF1,0.235585397,0.485371401
12906,12906,MSH2,0.233477198,0.483194783
668,668,ANHX,0.233291293,0.483002374
15467,15467,PNCK,0.23320495,0.482912984
11852,11852,MIR4756,0.232959108,0.482658376
13470,13470,NEXN-AS1,0.23239937,0.482078179
13290,13290,NCALD,0.231518611,0.481163809
307,307,ADAP1,0.230118386,0.479706562
16466,16466,RANBP17,0.230086413,0.479673235
8671,8671,KRTAP2-1,0.230017056,0.479600934
8237,8237,KCNK17,0.22995128,0.479532356
708,708,ANKRD20A8P,0.229471106,0.479031424
2130,2130,CACNA1C-IT3,0.228319804,0.477828216
6316,6316,GCC2,0.228263126,0.477768904
11248,11248,MIR25,0.228256156,0.47776161
10813,10813,MEFV,0.227668604,0.477146313
306,306,ADAMTSL5,0.227237861,0.476694726
1857,1857,C18orf25,0.226995089,0.476440016
10182,10182,LONRF2,0.226552756,0.475975584
10779,10779,MED13,0.226435691,0.475852593
7299,7299,HMGN1,0.226347972,0.475760415
1905,1905,C1orf105,0.22594974,0.475341709
914,914,APTR,0.225351452,0.474711967
15093,15093,PGRMC1,0.225146664,0.474496222
2956,2956,CFHR1,0.224848616,0.47418205
7807,7807,IL24,0.224669172,0.473992797
10245,10245,LRP5L,0.22439497,0.473703462
2503,2503,CCL2,0.224343521,0.473649154
14148,14148,OR1D4,0.223958988,0.473243053
16079,16079,PSMB10,0.221897438,0.471059909
1415,1415,B9D2,0.2217515,0.47090498
9794,9794,LOC101927023,0.221552681,0.470693829
9008,9008,LINC00200,0.221370603,0.470500376
16220,16220,PTPRG-AS1,0.221349125,0.47047755
7391,7391,HOXB8,0.220735594,0.469825067
15801,15801,PRAMEF9,0.220560488,0.469638678
1213,1213,ATAD2B,0.220340995,0.469404937
385,385,AFAP1-AS1,0.21999818,0.469039636
1260,1260,ATOX1,0.219604844,0.468620149
16153,16153,PTF1A,0.21953345,0.468543968
4709,4709,DUSP15,0.21917495,0.468161244
9314,9314,LINC00924,0.218722595,0.467677876
5095,5095,EPB41,0.218093347,0.467004654
9903,9903,LOC101928489,0.21799879,0.466903406
13855,13855,NT5C2,0.217914168,0.466812776
11724,11724,MIR4536-1,0.217750561,0.466637505
11500,11500,MIR3916,0.217441173,0.46630588
1449,1449,BARD1,0.217344343,0.466202041
17120,17120,RPL34,0.217319323,0.466175206
4551,4551,DNPEP,0.216667619,0.465475691
2179,2179,CALD1,0.216639112,0.465445068
920,920,AQP12B,0.21610134,0.464867013
14032,14032,OGFRP1,0.215590197,0.464316915
8484,8484,KLHL22,0.215375479,0.464085638
2303,2303,CATSPER1,0.215164811,0.463858611
11168,11168,MIR1911,0.214525931,0.463169441
2794,2794,CDKN2B-AS1,0.21438424,0.463016458
6848,6848,GRIN1,0.214054154,0.462659868
12236,12236,MIR6504,0.213861224,0.462451321
9781,9781,LOC101448202,0.213816859,0.462403351
13102,13102,MYH7,0.213686032,0.462261865
1616,1616,BMP6,0.213183409,0.461717889
7637,7637,IFIT1,0.213095877,0.461623089
11655,11655,MIR4465,0.212488601,0.460964858
367,367,ADPRHL1,0.21233195,0.460794911
2660,2660,CD79A,0.211839515,0.460260269
13803,13803,NRF1,0.211826271,0.460245881
6258,6258,GAN,0.211737049,0.460148942
6638,6638,GOLGA8O,0.211672533,0.460078833
14908,14908,PDCL3P4,0.211547149,0.45994255
8330,8330,KHDRBS3,0.211320328,0.459695908
5551,5551,FAM72A,0.211170807,0.459533249
72,72,ABCC8,0.211131169,0.459490119
7356,7356,HOMEZ,0.211097492,0.45945347
8189,8189,KCND3,0.21101565,0.459364398
12619,12619,MKRN3,0.210707195,0.459028534
11993,11993,MIR519B,0.210402709,0.45869675
15918,15918,PRNT,0.210377547,0.458669322
15919,15919,PROB1,0.210377547,0.458669322
15920,15920,PROC,0.210377547,0.458669322
15921,15921,PROCA1,0.210377547,0.458669322
15922,15922,PROCR,0.210377547,0.458669322
15923,15923,PRODH,0.210377547,0.458669322
15924,15924,PRODH2,0.210377547,0.458669322
15925,15925,PROK1,0.210377547,0.458669322
14969,14969,PDPR,0.209708079,0.457938947
7058,7058,HAVCR1P1,0.209675182,0.457903026
4959,4959,EIF5,0.20901106,0.457177274
1702,1702,BRSK1,0.208869652,0.457022594
12486,12486,MIR764,0.208736446,0.456876838
641,641,AMZ1,0.208379576,0.456486118
9178,9178,LINC00597,0.208167922,0.456254229
4666,4666,DSE,0.208159613,0.456245123
13596,13596,NLRC5,0.207911945,0.455973623
3224,3224,CLHC1,0.207682504,0.455721959
9190,9190,LINC00615,0.207474293,0.45549346
2553,2553,CCNYL1,0.206951188,0.454918881
14276,14276,OR4K1,0.206919211,0.454883733
1678,1678,BRD3,0.206912353,0.454876195
4388,4388,DKK4,0.206576741,0.454507141
6611,6611,GOLGA5,0.20655467,0.45448286
14812,14812,PCDHB16,0.206453635,0.454371692
2427,2427,CCDC24,0.206336161,0.454242403
16219,16219,PTPRG,0.206203905,0.454096801
8073,8073,ITPRIPL2,0.206089122,0.453970397
4711,4711,DUSP18,0.206013496,0.453887096
10927,10927,MGP,0.205994518,0.453866189
1018,1018,ARHGEF34P,0.205791202,0.453642152
2988,2988,CHAT,0.20557344,0.453402074
10230,10230,LRIG3,0.205470437,0.45328847
1502,1502,BCL2L10,0.205371253,0.453179052
4093,4093,DCHS2,0.205184373,0.452972817
6433,6433,GIN1,0.204741546,0.452483752
2822,2822,CDY1B,0.20470849,0.452447224
15854,15854,PRICKLE3,0.204360595,0.452062601
11970,11970,MIR517A,0.204045805,0.451714296
3532,3532,CPA4,0.204006607,0.451670906
4311,4311,DHFR,0.203954836,0.451613591
9606,9606,LOC100128993,0.203503282,0.45111338
15526,15526,POLG2,0.203372566,0.450968475
8652,8652,KRTAP12-1,0.203213725,0.45079233
14340,14340,OR52R1,0.203112877,0.45068046
13446,13446,NEMF,0.203096774,0.450662594
10842,10842,MESP2,0.202721912,0.450246501
7127,7127,HEATR1,0.202708187,0.45023126
16098,16098,PSMD11,0.202628338,0.450142575
16359,16359,RAB38,0.202543255,0.450048059
3648,3648,CRTC3,0.202110661,0.449567193
13972,13972,NXNL1,0.201149276,0.448496684
10301,10301,LRRC56,0.200873567,0.448189209
2582,2582,CCT8L2,0.200850273,0.448163222
9999,9999,LOC102724058,0.20077714,0.448081622
11775,11775,MIR4678,0.200754819,0.448056714
14562,14562,OXCT2,0.200678414,0.447971443
16424,16424,RAD51AP2,0.200333942,0.447586798
14992,14992,PEAK1,0.200192747,0.447429041
2883,2883,CENPN,0.200173325,0.447407337
7383,7383,HOXB1,0.200051091,0.447270713
8541,8541,KMT2B,0.200005557,0.447219809
6260,6260,GANC,0.199871903,0.447070355
9115,9115,LINC00470,0.199871903,0.447070355
5016,5016,EMC3,0.199828277,0.447021563
12643,12643,MLST8,0.199788636,0.446977221
4496,4496,DNAJC12,0.199712987,0.44689259
13143,13143,MYO3B,0.199638342,0.446809067
