,Unnamed: 0,Gene,variance,SD
0,0,A1BG,0.035145929,0.187472475
4,4,A2M-AS1,0.038260729,0.195603501
13,13,AACSP1,0.033943244,0.184236924
23,23,AAMDC,0.038358581,0.195853469
29,29,AARSD1,0.038775334,0.196914535
31,31,AASDHPPT,0.036727414,0.191643976
35,35,ABAT,0.033363674,0.182657259
58,58,ABCB9,0.035728733,0.189020455
65,65,ABCC3,0.037273427,0.193063272
69,69,ABCC6,0.037978838,0.194881601
74,74,ABCD1,0.037143389,0.192726201
76,76,ABCD3,0.039441131,0.198597912
90,90,ABHD12,0.034032662,0.184479435
94,94,ABHD14A-ACY1,0.034189587,0.184904264
95,95,ABHD14B,0.034112343,0.184695271
98,98,ABHD16B,0.035274295,0.187814522
103,103,ABHD3,0.032466878,0.180185676
117,117,ABO,0.036727808,0.191645004
139,139,ACAP2,0.034957556,0.186969399
153,153,ACER1,0.033061863,0.181829213
162,162,ACLY,0.037261056,0.19303123
176,176,ACOX1,0.039429294,0.198568108
182,182,ACP5,0.038478924,0.196160455
183,183,ACP6,0.039361979,0.198398536
185,185,ACRBP,0.036150669,0.190133292
190,190,ACSF3,0.033158248,0.182094063
194,194,ACSL5,0.034361551,0.185368688
200,200,ACSM4,0.034312359,0.185235954
202,202,ACSS1,0.033889351,0.184090607
203,203,ACSS2,0.033946174,0.184244876
211,211,ACTG1P4,0.034636508,0.186108862
214,214,ACTL6A,0.032509305,0.18030337
218,218,ACTL8,0.03362114,0.183360682
222,222,ACTN3,0.032959702,0.181548072
229,229,ACTR3B,0.033764746,0.183751859
231,231,ACTR3BP5,0.036288634,0.190495758
249,249,ACYP2,0.039672377,0.199179258
251,251,ADAD1,0.037923458,0.194739462
257,257,ADAM15,0.034539751,0.185848732
267,267,ADAM23,0.034667095,0.186191017
279,279,ADAMDEC1,0.03828903,0.195675829
283,283,ADAMTS13,0.038833985,0.197063403
291,291,ADAMTS20,0.034120989,0.184718674
292,292,ADAMTS3,0.035699213,0.188942353
293,293,ADAMTS4,0.032675636,0.180764035
303,303,ADAMTSL3,0.039246404,0.198107051
304,304,ADAMTSL4,0.038079142,0.195138777
310,310,ADARB1,0.032714142,0.180870511
318,318,ADCK5,0.039752708,0.199380811
332,332,ADD1,0.036952632,0.192230673
333,333,ADD2,0.032907064,0.181403042
346,346,ADIG,0.037290123,0.193106507
348,348,ADIPOQ-AS1,0.035137718,0.187450575
366,366,ADPRH,0.032519374,0.180331289
375,375,ADRB1,0.034774787,0.186479992
377,377,ADRB3,0.036272214,0.190452656
386,386,AFAP1L1,0.037614998,0.193945864
389,389,AFF2,0.033708351,0.183598341
405,405,AGAP5,0.032711561,0.180863376
406,406,AGAP6,0.034765946,0.186456285
409,409,AGBL1-AS1,0.03750355,0.193658334
414,414,AGBL5,0.038774255,0.196911795
416,416,AGER,0.035005562,0.187097735
421,421,AGL,0.039621156,0.199050636
447,447,AHCTF1P1,0.037106686,0.192630959
451,451,AHDC1,0.039633747,0.199082261
457,457,AHSA1,0.036150024,0.190131597
465,465,AIFM2,0.039885331,0.199713123
468,468,AIM2,0.039529187,0.198819484
472,472,AIPL1,0.035450601,0.1882833
474,474,AIRN,0.035483995,0.188371959
476,476,AJUBA,0.035022806,0.187143812
488,488,AKAP11,0.036233476,0.190350927
489,489,AKAP12,0.036749492,0.191701571
494,494,AKAP4,0.036394858,0.190774365
497,497,AKAP7,0.034862523,0.186715085
498,498,AKAP8,0.03774973,0.194292898
502,502,AKIRIN1,0.035919942,0.18952557
504,504,AKNA,0.034464345,0.185645751
510,510,AKR1C1,0.034263189,0.185103184
527,527,ALAS1,0.032756484,0.180987525
537,537,ALDH1L1,0.035690468,0.18891921
551,551,ALDH9A1,0.037390172,0.193365384
554,554,ALDOC,0.039479346,0.198694101
565,565,ALG2,0.036294142,0.190510214
570,570,ALG9,0.039889243,0.199722916
574,574,ALKBH3,0.033989295,0.18436186
577,577,ALKBH5,0.034410494,0.185500658
580,580,ALKBH8,0.036884403,0.192053126
581,581,ALLC,0.03812025,0.195244079
597,597,ALPL,0.033967125,0.184301723
615,615,AMER2,0.035220511,0.187671285
621,621,AMIGO2,0.03487646,0.186752402
625,625,AMN,0.035845982,0.189330352
633,633,AMPH,0.036893554,0.192076949
635,635,AMTN,0.039841568,0.199603526
650,650,ANAPC1P1,0.032916704,0.181429611
656,656,ANGEL1,0.036525729,0.191117056
667,667,ANGPTL7,0.032933554,0.181476043
669,669,ANK1,0.035082165,0.187302335
675,675,ANKEF1,0.033802843,0.183855495
679,679,ANKHD1,0.034585742,0.185972423
688,688,ANKRD1,0.039920487,0.199801119
689,689,ANKRD10,0.03978013,0.199449568
695,695,ANKRD13D,0.035664859,0.18885142
704,704,ANKRD20A11P,0.033490254,0.183003426
706,706,ANKRD20A19P,0.035635599,0.188773936
722,722,ANKRD30BP2,0.039162442,0.197895028
725,725,ANKRD33,0.036113781,0.190036263
734,734,ANKRD36BP2,0.035710537,0.188972317
741,741,ANKRD45,0.035672316,0.188871163
750,750,ANKRD61,0.039070037,0.197661419
761,761,ANKS4B,0.037680351,0.194114272
768,768,ANO2,0.036706164,0.191588529
770,770,ANO4,0.036569711,0.191232086
776,776,ANP32A,0.033148945,0.182068518
782,782,ANP32E,0.036232954,0.190349558
792,792,ANXA2,0.03599982,0.189736185
801,801,ANXA7,0.037959432,0.194831805
810,810,AOC4P,0.034898548,0.186811531
811,811,AOX1,0.037501184,0.193652224
812,812,AP1AR,0.037043757,0.192467548
817,817,AP1M1,0.036987958,0.192322537
835,835,AP4B1-AS1,0.03485353,0.186691001
849,849,APBB2,0.033243939,0.182329205
851,851,APC,0.032820845,0.181165242
854,854,APCDD1L,0.037367127,0.193305787
859,859,APEX2,0.036617681,0.191357468
864,864,APLF,0.039938076,0.199845129
900,900,APOL3,0.033457655,0.182914338
904,904,APOLD1,0.03592587,0.189541209
923,923,AQP4,0.036900731,0.19209563
932,932,AQR,0.037280723,0.193082166
934,934,ARAF,0.033272655,0.182407937
945,945,ARF5,0.037029001,0.192429211
947,947,ARFGAP1,0.037545857,0.193767534
953,953,ARFIP2,0.038929709,0.19730613
958,958,ARGFXP2,0.036274878,0.190459649
970,970,ARHGAP20,0.038142277,0.195300479
985,985,ARHGAP35,0.037563754,0.19381371
986,986,ARHGAP36,0.036896606,0.192084893
1001,1001,ARHGEF10,0.036716078,0.1916144
1006,1006,ARHGEF16,0.036423406,0.190849171
1021,1021,ARHGEF38,0.033080453,0.181880327
1025,1025,ARHGEF40,0.03419484,0.184918469
1044,1044,ARIH2OS,0.038986426,0.197449806
1059,1059,ARL2BP,0.038136828,0.195286527
1066,1066,ARL5C,0.037849299,0.194548962
1069,1069,ARL6IP4,0.036995674,0.192342594
1076,1076,ARMC10,0.03801628,0.19497764
1083,1083,ARMC7,0.032524388,0.18034519
1084,1084,ARMC8,0.036411451,0.190817849
1095,1095,ARNT2,0.036579861,0.191258624
1097,1097,ARNTL2,0.03867678,0.196664131
1104,1104,ARPC4-TTLL3,0.033916641,0.184164713
1118,1118,ARSA,0.035915777,0.189514583
1132,1132,ARV1,0.039921745,0.199804266
1133,1133,ARVCF,0.033131889,0.182021673
1137,1137,ASAH2,0.035389056,0.188119791
1146,1146,ASB11,0.0327601,0.180997513
1153,1153,ASB17,0.038796903,0.196969295
1158,1158,ASB5,0.037145061,0.19273054
1159,1159,ASB6,0.039061835,0.197640672
1174,1174,ASGR1,0.034881102,0.186764832
1178,1178,ASH2L,0.036049393,0.189866777
1179,1179,ASIC1,0.038521018,0.19626772
1184,1184,ASIP,0.038430637,0.196037335
1209,1209,ASXL3,0.039734027,0.199333959
1215,1215,ATAD3B,0.034583817,0.185967247
1223,1223,ATF2,0.035491944,0.188393057
1228,1228,ATF6B,0.036364394,0.190694505
1240,1240,ATG2B,0.037632817,0.193991795
1244,1244,ATG4C,0.033141996,0.182049432
1248,1248,ATG9A,0.033513083,0.183065788
1256,1256,ATN1,0.032886808,0.181347202
1257,1257,ATOH1,0.035355083,0.188029475
1263,1263,ATP10D,0.033238088,0.182313159
1266,1266,ATP11AUN,0.039096772,0.197729037
1274,1274,ATP13A5,0.038332937,0.19578799
1276,1276,ATP1A1-AS1,0.035419685,0.188201182
1292,1292,ATP2C2,0.036027644,0.189809493
1293,1293,ATP4A,0.03297875,0.181600523
1296,1296,ATP6AP1L,0.032652534,0.180700123
1302,1302,ATP6V0C,0.037754773,0.194305874
1308,1308,ATP6V0E2-AS1,0.032925364,0.181453475
1316,1316,ATP6V1E2,0.034987991,0.187050771
1318,1318,ATP6V1G1,0.039509271,0.198769391
1321,1321,ATP6V1G3,0.036206161,0.190279165
1329,1329,ATP8B3,0.035777554,0.189149554
1334,1334,ATPAF1,0.035600064,0.188679791
1343,1343,ATXN10,0.034275352,0.185136036
1351,1351,ATXN7L2,0.033560465,0.183195157
1353,1353,ATXN7L3B,0.034238937,0.185037664
1362,1362,AUTS2,0.038208374,0.195469623
1376,1376,AXL,0.035136911,0.187448422
1380,1380,AZIN1,0.039625841,0.199062405
1389,1389,B3GALT6,0.03837148,0.195886395
1398,1398,B3GNT7,0.036112916,0.190033987
1399,1399,B3GNT8,0.037670375,0.194088575
1401,1401,B3GNTL1,0.034746293,0.186403577
1406,1406,B4GALT1,0.034457847,0.185628251
1421,1421,BACE1-AS,0.037542055,0.193757722
1423,1423,BACH1,0.039693806,0.199233046
1424,1424,BACH1-IT2,0.038084619,0.195152809
1430,1430,BAG4,0.035311755,0.187914222
1440,1440,BAIAP3,0.034407527,0.18549266
1441,1441,BAK1,0.038597458,0.196462358
1445,1445,BANF2,0.032965934,0.181565234
1452,1452,BARX1,0.036441419,0.190896357
1453,1453,BARX2,0.034152117,0.184802913
1463,1463,BAZ2B,0.036711423,0.191602251
1468,1468,BBS10,0.039212325,0.198021021
1477,1477,BCAN,0.039818422,0.199545538
1479,1479,BCAP31,0.036642719,0.191422881
1482,1482,BCAR4,0.034193422,0.184914634
1485,1485,BCAS3,0.034592649,0.185990992
1487,1487,BCAT1,0.036727849,0.191645112
1491,1491,BCDIN3D-AS1,0.039181385,0.197942884
1494,1494,BCKDHB,0.037118379,0.192661307
1511,1511,BCL6,0.038381471,0.195911896
1517,1517,BCL9L,0.03860488,0.196481247
1520,1520,BCOR,0.037769005,0.194342495
1527,1527,BCYRN1,0.032790008,0.181080115
1541,1541,BEND4,0.038121393,0.195247005
1547,1547,BEST3,0.035371899,0.188074185
1549,1549,BET1,0.03674533,0.191690713
1553,1553,BEX4,0.035862157,0.189373064
1558,1558,BGLAP,0.037385745,0.193353937
1572,1572,BICD2,0.037057595,0.192503494
1587,1587,BLACAT1,0.03566161,0.188842818
1594,1594,BLNK,0.035684469,0.188903333
1599,1599,BLOC1S4,0.032565223,0.18045837
1604,1604,BLVRB,0.039842094,0.199604845
1605,1605,BLZF1,0.039239092,0.198088597
1622,1622,BMPR1B,0.03411794,0.184710421
1650,1650,BORA,0.036230982,0.190344377
1651,1651,BPESC1,0.032949776,0.181520733
1658,1658,BPIFA4P,0.033925943,0.184189964
1659,1659,BPIFB1,0.03940766,0.198513626
1662,1662,BPIFB4,0.039286684,0.198208689
1665,1665,BPNT1,0.038705101,0.196736121
1680,1680,BRD7,0.035221401,0.187673655
1712,1712,BSPH1,0.039846364,0.19961554
1718,1718,BTBD1,0.033183567,0.182163573
1732,1732,BTD,0.036160063,0.190157995
1736,1736,BTG1,0.033369404,0.182672944
1740,1740,BTK,0.035555331,0.188561212
1744,1744,BTN2A2,0.037388232,0.193360369
1748,1748,BTN3A3,0.033041385,0.181772893
1754,1754,BTRC,0.037631995,0.193989677
1764,1764,BZW2,0.034552982,0.185884325
1820,1820,C14orf39,0.035087798,0.187317371
1825,1825,C15orf48,0.032940814,0.181496044
1832,1832,C16orf74,0.036404891,0.190800657
1835,1835,C16orf86,0.038193942,0.195432706
1837,1837,C16orf89,0.039456432,0.198636431
1841,1841,C16orf95,0.033535442,0.183126847
1847,1847,C17orf58,0.033707254,0.183595355
1850,1850,C17orf75,0.03422698,0.185005351
1856,1856,C18orf21,0.03522376,0.18767994
1859,1859,C18orf54,0.035537084,0.188512822
1861,1861,C18orf63,0.03471079,0.186308321
1862,1862,C19orf12,0.039178322,0.197935146
1863,1863,C19orf18,0.033895344,0.184106882
1873,1873,C19orf71,0.036059264,0.189892769
1882,1882,C1QBP,0.035713252,0.188979501
1884,1884,C1QL1,0.032535817,0.180376875
1887,1887,C1QL4,0.035746878,0.189068448
1891,1891,C1QTNF3,0.037413844,0.193426586
1894,1894,C1QTNF5,0.039210887,0.198017392
1895,1895,C1QTNF6,0.033503825,0.1830405
1896,1896,C1QTNF7,0.037808662,0.194444495
1898,1898,C1QTNF9,0.033506879,0.183048842
1901,1901,C1RL,0.036241981,0.190373268
1912,1912,C1orf131,0.039195899,0.197979541
1921,1921,C1orf189,0.033418715,0.182807863
1926,1926,C1orf216,0.037794022,0.194406845
1930,1930,C1orf43,0.034994593,0.187068418
1931,1931,C1orf50,0.03642474,0.190852666
1943,1943,C20orf173,0.036143039,0.190113227
1955,1955,C22orf31,0.032463183,0.180175424
1961,1961,C2CD3,0.039603152,0.199005407
1971,1971,C2orf49,0.037630951,0.193986988
1977,1977,C2orf73,0.035773231,0.189138127
1979,1979,C2orf76,0.034795208,0.186534736
2011,2011,C4orf33,0.034210936,0.184961986
2013,2013,C4orf45,0.0385607,0.196368787
