,Unnamed: 0,Gene,variance,SD
0,0,A1BG,0.035145929,0.187472475
1,1,A1BG-AS1,0.029408576,0.171489288
2,2,A1CF,0.025864859,0.160825553
4,4,A2M-AS1,0.038260729,0.195603501
6,6,A2MP1,0.047721319,0.218452097
13,13,AACSP1,0.033943244,0.184236924
15,15,AADACL2,0.040434047,0.20108219
16,16,AADACL2-AS1,0.030369138,0.174267432
18,18,AADACL4,0.026678396,0.163335225
22,22,AAK1,0.027632866,0.166231363
23,23,AAMDC,0.038358581,0.195853469
27,27,AARD,0.031504879,0.177496138
29,29,AARSD1,0.038775334,0.196914535
31,31,AASDHPPT,0.036727414,0.191643976
32,32,AASS,0.029799848,0.172626324
35,35,ABAT,0.033363674,0.182657259
36,36,ABCA1,0.046005329,0.214488528
37,37,ABCA10,0.027789676,0.166702358
40,40,ABCA13,0.026984445,0.164269427
44,44,ABCA4,0.047948664,0.218971833
49,49,ABCA9,0.04837094,0.219933945
51,51,ABCB10,0.025829042,0.160714163
56,56,ABCB7,0.046147144,0.214818863
58,58,ABCB9,0.035728733,0.189020455
63,63,ABCC13,0.031118608,0.176404671
65,65,ABCC3,0.037273427,0.193063272
68,68,ABCC5-AS1,0.043511487,0.208594073
69,69,ABCC6,0.037978838,0.194881601
74,74,ABCD1,0.037143389,0.192726201
76,76,ABCD3,0.039441131,0.198597912
81,81,ABCF3,0.027172677,0.164841368
90,90,ABHD12,0.034032662,0.184479435
91,91,ABHD12B,0.027029742,0.164407245
93,93,ABHD14A,0.043590877,0.208784284
94,94,ABHD14A-ACY1,0.034189587,0.184904264
95,95,ABHD14B,0.034112343,0.184695271
97,97,ABHD16A,0.029937318,0.173024038
98,98,ABHD16B,0.035274295,0.187814522
100,100,ABHD17B,0.043489587,0.208541571
103,103,ABHD3,0.032466878,0.180185676
104,104,ABHD4,0.028694337,0.16939403
110,110,ABI3,0.027172607,0.164841157
111,111,ABI3BP,0.047412431,0.217743958
114,114,ABLIM1,0.029910916,0.172947727
116,116,ABLIM3,0.029844853,0.172756629
117,117,ABO,0.036727808,0.191645004
123,123,ABTB2,0.045339659,0.212931114
124,124,ACAA1,0.040026954,0.200067374
125,125,ACAA2,0.047625973,0.218233757
134,134,ACADS,0.043339381,0.208181126
137,137,ACAN,0.045949667,0.214358735
139,139,ACAP2,0.034957556,0.186969399
143,143,ACBD3,0.041053016,0.202615439
149,149,ACCSL,0.043698472,0.209041795
153,153,ACER1,0.033061863,0.181829213
154,154,ACER2,0.047387597,0.217686925
157,157,ACIN1,0.028314116,0.168267989
158,158,ACKR1,0.028871356,0.169915733
160,160,ACKR3,0.04161868,0.204006569
161,161,ACKR4,0.04086077,0.202140471
162,162,ACLY,0.037261056,0.19303123
165,165,ACO2,0.027075615,0.164546696
166,166,ACOT1,0.026925614,0.164090263
