,Gene,variance,SD
0,A1BG,0.035145929,0.187472475
1,A1BG-AS1,0.029408576,0.171489288
2,A1CF,0.025864859,0.160825553
3,A2M,0.049549445,0.222597046
4,A2M-AS1,0.038260729,0.195603501
5,A2ML1,0.101814673,0.319084116
6,A2MP1,0.047721319,0.218452097
7,A3GALT2,0.086796608,0.29461264
8,A4GALT,0.06204339,0.249085107
9,A4GNT,0.101246053,0.318191849
10,AA06,0.050321628,0.224324827
11,AAAS,0.053089956,0.230412578
12,AACS,0.061890075,0.248777159
13,AACSP1,0.033943244,0.184236924
14,AADAC,0.157111574,0.396373024
15,AADACL2,0.040434047,0.20108219
16,AADACL2-AS1,0.030369138,0.174267432
17,AADACL3,0.052515339,0.229162255
18,AADACL4,0.026678396,0.163335225
19,AADACP1,0.131578622,0.362737677
20,AADAT,0.05352029,0.231344527
21,AAGAB,0.05196857,0.22796616
22,AAK1,0.027632866,0.166231363
23,AAMDC,0.038358581,0.195853469
24,AAMP,0.012277092,0.11080204
25,AANAT,0.071666886,0.267706716
26,AAR2,0.099851981,0.31599364
27,AARD,0.031504879,0.177496138
28,AARS2,0.051893931,0.227802396
29,AARSD1,0.038775334,0.196914535
30,AASDH,0.051351831,0.226609425
31,AASDHPPT,0.036727414,0.191643976
32,AASS,0.029799848,0.172626324
33,AATF,0.191431718,0.437529106
34,AATK,0.004424014,0.066513262
35,ABAT,0.033363674,0.182657259
36,ABCA1,0.046005329,0.214488528
37,ABCA10,0.027789676,0.166702358
38,ABCA11P,0.081363129,0.285242228
39,ABCA12,0.054433446,0.233309765
40,ABCA13,0.026984445,0.164269427
41,ABCA17P,0.014927282,0.122177255
42,ABCA2,0.071846866,0.268042656
43,ABCA3,0.020966034,0.144796528
44,ABCA4,0.047948664,0.218971833
45,ABCA5,0.144894986,0.380650741
46,ABCA6,0.022929104,0.151423591
47,ABCA7,0.023885779,0.154550248
48,ABCA8,0.019711825,0.140398806
49,ABCA9,0.04837094,0.219933945
50,ABCB1,0.086142565,0.293500537
51,ABCB10,0.025829042,0.160714163
52,ABCB11,0.017668095,0.132921386
53,ABCB4,0.011923598,0.109195231
54,ABCB5,0.00610057,0.078106145
55,ABCB6,0.022927502,0.151418302
56,ABCB7,0.046147144,0.214818863
57,ABCB8,0.012641608,0.112434908
58,ABCB9,0.035728733,0.189020455
59,ABCC1,0.019320871,0.138999535
60,ABCC10,0.072659599,0.269554445
61,ABCC11,0.142569003,0.377583107
62,ABCC12,0.011151113,0.105598833
63,ABCC13,0.031118608,0.176404671
64,ABCC2,0.016345391,0.127849094
65,ABCC3,0.037273427,0.193063272
66,ABCC4,0.064059102,0.253098996
67,ABCC5,0.008529847,0.092357173
68,ABCC5-AS1,0.043511487,0.208594073
69,ABCC6,0.037978838,0.194881601
70,ABCC6P1,0.080163226,0.283131111
71,ABCC6P2,0.011831719,0.108773707
72,ABCC8,0.211131169,0.459490119
73,ABCC9,0.024084184,0.155190799
