,Unnamed: 0,Gene,variance,SD
1,1,A1BG-AS1,0.004836844,0.069547425
2,2,A1CF,0.004969827,0.070497001
3,3,A2M,0.004972815,0.070518186
18,18,AADACL4,0.004322966,0.065749269
21,21,AAGAB,0.004579188,0.067669697
23,23,AAMDC,0.004280723,0.065427237
26,26,AAR2,0.004931963,0.070227938
36,36,ABCA1,0.004110064,0.064109781
39,39,ABCA12,0.004773458,0.069090214
40,40,ABCA13,0.005099335,0.071409629
47,47,ABCA7,0.004466223,0.066829804
53,53,ABCB4,0.004905739,0.070040979
56,56,ABCB7,0.004913744,0.070098102
59,59,ABCC1,0.004902361,0.070016865
62,62,ABCC12,0.004029674,0.063479717
65,65,ABCC3,0.004019026,0.063395785
74,74,ABCD1,0.004422879,0.066504731
77,77,ABCD4,0.004649368,0.068186275
82,82,ABCG1,0.004789325,0.069204949
87,87,ABHD1,0.004899783,0.069998448
90,90,ABHD12,0.004542438,0.067397609
91,91,ABHD12B,0.004084405,0.063909348
95,95,ABHD14B,0.004991408,0.070649894
99,99,ABHD17A,0.004100238,0.064033101
104,104,ABHD4,0.004571705,0.067614382
110,110,ABI3,0.00408747,0.063933326
114,114,ABLIM1,0.004331539,0.065814428
115,115,ABLIM2,0.004308344,0.065637974
118,118,ABR,0.004126812,0.064240268
120,120,ABRACL,0.004397874,0.066316469
124,124,ACAA1,0.004073254,0.063822049
135,135,ACADSB,0.004215655,0.064928078
138,138,ACAP1,0.004186244,0.06470119
140,140,ACAP3,0.004719906,0.068701573
155,155,ACER3,0.004813067,0.069376274
161,161,ACKR4,0.005093845,0.071371178
164,164,ACO1,0.00427248,0.06536421
165,165,ACO2,0.004891227,0.069937311
170,170,ACOT2,0.004554368,0.067486056
174,174,ACOT8,0.005031174,0.070930772
182,182,ACP5,0.004018243,0.063389616
183,183,ACP6,0.004912014,0.070085761
220,220,ACTN1,0.004256991,0.065245623
222,222,ACTN3,0.0046287,0.068034552
232,232,ACTR3C,0.004295686,0.065541482
240,240,ACVR1B,0.004672443,0.068355273
244,244,ACVR2B-AS1,0.004601428,0.067833827
249,249,ACYP2,0.005107415,0.071466178
252,252,ADAD2,0.004026727,0.0634565
257,257,ADAM15,0.004393201,0.066281226
265,265,ADAM21P1,0.004604137,0.067853794
267,267,ADAM23,0.004476434,0.066906155
277,277,ADAM8,0.004010945,0.063332025
282,282,ADAMTS12,0.004533412,0.06733062
283,283,ADAMTS13,0.003994354,0.063200904
284,284,ADAMTS14,0.004553325,0.067478333
287,287,ADAMTS17,0.004518021,0.067216228
292,292,ADAMTS3,0.004007451,0.063304433
317,317,ADCK2,0.004805799,0.069323872
