,Unnamed: 0,Gene,variance,SD
0,0,A1BG,0.003016551,0.054923134
1,1,A1BG-AS1,0.004836844,0.069547425
2,2,A1CF,0.004969827,0.070497001
3,3,A2M,0.004972815,0.070518186
4,4,A2M-AS1,0.005415489,0.073590008
10,10,AA06,0.005399422,0.073480758
16,16,AADACL2-AS1,0.005255357,0.072493841
17,17,AADACL3,0.003924695,0.062647384
18,18,AADACL4,0.004322966,0.065749269
20,20,AADAT,0.006083039,0.077993841
21,21,AAGAB,0.004579188,0.067669697
23,23,AAMDC,0.004280723,0.065427237
26,26,AAR2,0.004931963,0.070227938
29,29,AARSD1,0.003165731,0.056264826
31,31,AASDHPPT,0.003649991,0.060415152
35,35,ABAT,0.003409182,0.058388202
36,36,ABCA1,0.004110064,0.064109781
39,39,ABCA12,0.004773458,0.069090214
40,40,ABCA13,0.005099335,0.071409629
43,43,ABCA3,0.006140818,0.078363369
44,44,ABCA4,0.006110097,0.078167109
46,46,ABCA6,0.005746468,0.07580546
47,47,ABCA7,0.004466223,0.066829804
52,52,ABCB11,0.003400122,0.058310565
53,53,ABCB4,0.004905739,0.070040979
55,55,ABCB6,0.003056886,0.055289109
56,56,ABCB7,0.004913744,0.070098102
59,59,ABCC1,0.004902361,0.070016865
60,60,ABCC10,0.006075672,0.077946599
62,62,ABCC12,0.004029674,0.063479717
65,65,ABCC3,0.004019026,0.063395785
67,67,ABCC5,0.003525905,0.059379334
70,70,ABCC6P1,0.005797879,0.076143807
71,71,ABCC6P2,0.003711946,0.060925741
74,74,ABCD1,0.004422879,0.066504731
76,76,ABCD3,0.006108,0.078153695
77,77,ABCD4,0.004649368,0.068186275
78,78,ABCE1,0.006012229,0.077538564
81,81,ABCF3,0.005604496,0.07486318
82,82,ABCG1,0.004789325,0.069204949
87,87,ABHD1,0.004899783,0.069998448
88,88,ABHD10,0.005304693,0.072833322
89,89,ABHD11,0.00571134,0.075573408
90,90,ABHD12,0.004542438,0.067397609
91,91,ABHD12B,0.004084405,0.063909348
92,92,ABHD13,0.005326725,0.072984413
93,93,ABHD14A,0.005759451,0.075891047
94,94,ABHD14A-ACY1,0.005865895,0.07658913
95,95,ABHD14B,0.004991408,0.070649894
97,97,ABHD16A,0.00546459,0.073922864
99,99,ABHD17A,0.004100238,0.064033101
103,103,ABHD3,0.003394562,0.058262871
104,104,ABHD4,0.004571705,0.067614382
110,110,ABI3,0.00408747,0.063933326
111,111,ABI3BP,0.005443713,0.073781525
114,114,ABLIM1,0.004331539,0.065814428
115,115,ABLIM2,0.004308344,0.065637974
116,116,ABLIM3,0.003941046,0.062777749
117,117,ABO,0.003866801,0.062183604
118,118,ABR,0.004126812,0.064240268
120,120,ABRACL,0.004397874,0.066316469
124,124,ACAA1,0.004073254,0.063822049
125,125,ACAA2,0.006275394,0.079217385
126,126,ACACA,0.002951342,0.054326252
127,127,ACACB,0.003477855,0.058973339
131,131,ACAD9,0.005780279,0.076028146
132,132,ACADL,0.003434855,0.058607632
133,133,ACADM,0.005972173,0.077279836
135,135,ACADSB,0.004215655,0.064928078
138,138,ACAP1,0.004186244,0.06470119
139,139,ACAP2,0.003318318,0.05760484
140,140,ACAP3,0.004719906,0.068701573
141,141,ACAT1,0.003088067,0.055570381
143,143,ACBD3,0.005770316,0.075962596
149,149,ACCSL,0.00612242,0.078245893
150,150,ACD,0.003571232,0.059759784
151,151,ACE,0.003376196,0.058105047
152,152,ACE2,0.006040439,0.077720261
153,153,ACER1,0.005625131,0.075000874
155,155,ACER3,0.004813067,0.069376274
156,156,ACHE,0.005721032,0.075637505
160,160,ACKR3,0.005542862,0.074450401
161,161,ACKR4,0.005093845,0.071371178
162,162,ACLY,0.005539336,0.074426714
163,163,ACMSD,0.003874741,0.06224742
164,164,ACO1,0.00427248,0.06536421
165,165,ACO2,0.004891227,0.069937311
166,166,ACOT1,0.005321788,0.072950583
168,168,ACOT12,0.003621178,0.060176228
169,169,ACOT13,0.005337019,0.073054906
