,Gene,variance,SD
0,A1BG,0.003016551,0.054923134
1,A1BG-AS1,0.004836844,0.069547425
2,A1CF,0.004969827,0.070497001
3,A2M,0.004972815,0.070518186
4,A2M-AS1,0.005415489,0.073590008
5,A2ML1,0.01521797,0.123361134
6,A2MP1,0.006894792,0.083034883
7,A3GALT2,0.00717079,0.084680516
8,A4GALT,0.008573274,0.092591976
9,A4GNT,0.012236919,0.110620609
10,AA06,0.005399422,0.073480758
11,AAAS,0.011910633,0.109135847
12,AACS,0.007305722,0.085473519
13,AACSP1,0.007292264,0.085394755
14,AADAC,0.011223943,0.105943113
15,AADACL2,0.009169285,0.095756382
16,AADACL2-AS1,0.005255357,0.072493841
17,AADACL3,0.003924695,0.062647384
18,AADACL4,0.004322966,0.065749269
19,AADACP1,0.061845152,0.248686856
20,AADAT,0.006083039,0.077993841
21,AAGAB,0.004579188,0.067669697
22,AAK1,0.007442058,0.086267365
23,AAMDC,0.004280723,0.065427237
24,AAMP,0.007610949,0.087240751
25,AANAT,0.009464389,0.097285089
26,AAR2,0.004931963,0.070227938
27,AARD,0.002742155,0.052365591
28,AARS2,0.007694308,0.087717206
29,AARSD1,0.003165731,0.056264826
30,AASDH,0.009024515,0.094997447
31,AASDHPPT,0.003649991,0.060415152
32,AASS,0.002698824,0.051950212
33,AATF,0.019392943,0.139258548
34,AATK,0.002712469,0.052081367
35,ABAT,0.003409182,0.058388202
36,ABCA1,0.004110064,0.064109781
37,ABCA10,0.001911434,0.043719954
38,ABCA11P,0.00786186,0.088667132
39,ABCA12,0.004773458,0.069090214
40,ABCA13,0.005099335,0.071409629
41,ABCA17P,0.002057398,0.045358553
42,ABCA2,0.006786175,0.082378241
43,ABCA3,0.006140818,0.078363369
44,ABCA4,0.006110097,0.078167109
45,ABCA5,0.009326168,0.096572085
46,ABCA6,0.005746468,0.07580546
47,ABCA7,0.004466223,0.066829804
48,ABCA8,0.008529619,0.092355935
49,ABCA9,0.002251733,0.047452424
50,ABCB1,0.008265837,0.090916651
51,ABCB10,0.007502695,0.086618101
52,ABCB11,0.003400122,0.058310565
53,ABCB4,0.004905739,0.070040979
54,ABCB5,0.002819933,0.053103043
55,ABCB6,0.003056886,0.055289109
56,ABCB7,0.004913744,0.070098102
57,ABCB8,0.002863497,0.05351165
58,ABCB9,0.00185776,0.043101744
59,ABCC1,0.004902361,0.070016865
60,ABCC10,0.006075672,0.077946599
61,ABCC11,0.025449242,0.159528186
62,ABCC12,0.004029674,0.063479717
63,ABCC13,0.002398706,0.048976587
64,ABCC2,0.002708459,0.052042855
65,ABCC3,0.004019026,0.063395785
66,ABCC4,0.006656268,0.081585957
67,ABCC5,0.003525905,0.059379334
68,ABCC5-AS1,0.008572992,0.092590453
69,ABCC6,0.002789817,0.052818719
70,ABCC6P1,0.005797879,0.076143807
71,ABCC6P2,0.003711946,0.060925741
72,ABCC8,0.0245893,0.156809757
73,ABCC9,0.002020123,0.044945782
74,ABCD1,0.004422879,0.066504731
75,ABCD2,0.01074246,0.103645838
76,ABCD3,0.006108,0.078153695
77,ABCD4,0.004649368,0.068186275
78,ABCE1,0.006012229,0.077538564
79,ABCF1,0.007658026,0.087510148
80,ABCF2,0.01123736,0.106006413
81,ABCF3,0.005604496,0.07486318
82,ABCG1,0.004789325,0.069204949
